N,S1,S2,relDifer
1,1,1,0
101,5.19728,5.19728,2.38419e-07
201,5.88301,5.88301,1.19209e-07
301,6.28599,6.28599,2.38419e-07
401,6.57242,6.57242,2.38419e-07
501,6.79482,6.79482,2.38419e-07
601,6.97664,6.97664,2.38419e-07
701,7.13044,7.13044,3.57628e-07
801,7.2637,7.2637,4.76837e-07
901,7.38128,7.38128,9.53674e-07
1001,7.48648,7.48647,8.34465e-07
1101,7.58165,7.58164,7.15256e-07
1201,7.66855,7.66854,4.76837e-07
1301,7.74849,7.74849,4.76837e-07
1401,7.82252,7.82251,4.76837e-07
1501,7.89144,7.89144,1.19209e-07
1601,7.95591,7.95591,1.19209e-07
1701,8.01648,8.01648,2.38419e-07
1801,8.07359,8.07359,1.19209e-07
1901,8.12761,8.12761,1.19209e-07
2001,8.17887,8.17887,1.19209e-07
2101,8.22763,8.22762,5.96046e-07
2201,8.27411,8.27411,4.76837e-07
2301,8.31854,8.31853,3.57628e-07
2401,8.36107,8.36106,5.96046e-07
2501,8.40187,8.40186,4.76837e-07
2601,8.44106,8.44106,4.76837e-07
2701,8.47878,8.47878,4.76837e-07
2801,8.51513,8.51513,7.15256e-07
2901,8.55021,8.5502,7.15256e-07
3001,8.58409,8.58408,5.96046e-07
3101,8.61686,8.61686,4.76837e-07
3201,8.6486,8.64859,5.96046e-07
3301,8.67935,8.67935,5.96046e-07
3401,8.70919,8.70919,5.96046e-07
3501,8.73817,8.73816,7.15256e-07
3601,8.76633,8.76632,4.76837e-07
3701,8.79371,8.79371,5.96046e-07
3801,8.82037,8.82037,4.76837e-07
3901,8.84634,8.84633,4.76837e-07
4001,8.87164,8.87164,3.57628e-07
4101,8.89633,8.89632,4.76837e-07
4201,8.92042,8.92041,5.96046e-07
4301,8.94394,8.94394,4.76837e-07
4401,8.96692,8.96692,4.76837e-07
4501,8.98939,8.98938,3.57628e-07
4601,9.01136,9.01135,3.57628e-07
4701,9.03286,9.03285,4.76837e-07
4801,9.0539,9.0539,5.96046e-07
4901,9.07452,9.07451,4.76837e-07
5001,9.09471,9.09471,4.76837e-07
5101,9.11451,9.11451,7.15256e-07
5201,9.13392,9.13392,7.15256e-07
5301,9.15297,9.15296,5.96046e-07
5401,9.17165,9.17165,7.15256e-07
5501,9.19,9.18999,8.34465e-07
5601,9.20801,9.208,5.96046e-07
5701,9.22571,9.2257,5.96046e-07
5801,9.24309,9.24309,8.34465e-07
5901,9.26018,9.26018,8.34465e-07
6001,9.27699,9.27698,7.15256e-07
6101,9.29351,9.2935,7.15256e-07
6201,9.30977,9.30976,7.15256e-07
6301,9.32577,9.32576,1.07288e-06
6401,9.34151,9.3415,9.53674e-07
6501,9.35701,9.357,9.53674e-07
6601,9.37227,9.37226,1.07288e-06
6701,9.38731,9.3873,1.3113e-06
6801,9.40212,9.40211,9.53674e-07
6901,9.41672,9.41671,8.34465e-07
7001,9.4311,9.43109,9.53674e-07
7101,9.44529,9.44527,1.19209e-06
7201,9.45927,9.45926,1.3113e-06
7301,9.47306,9.47305,1.07288e-06
7401,9.48666,9.48665,1.07288e-06
7501,9.50008,9.50007,1.07288e-06
7601,9.51332,9.51331,9.53674e-07
7701,9.52639,9.52638,9.53674e-07
7801,9.5393,9.53928,1.43051e-06
7901,9.55203,9.55202,9.53674e-07
8001,9.5646,9.5646,7.15256e-07
8101,9.57703,9.57702,1.3113e-06
8201,9.58929,9.58929,9.53674e-07
8301,9.60142,9.60141,1.19209e-06
8401,9.61339,9.61338,1.07288e-06
8501,9.62522,9.62521,1.43051e-06
8601,9.63691,9.63691,8.34465e-07
8701,9.64848,9.64846,1.78814e-06
8801,9.6599,9.65989,8.34465e-07
8901,9.6712,9.67119,8.34465e-07
9001,9.68238,9.68236,1.66893e-06
9101,9.69342,9.69341,8.34465e-07
9201,9.70434,9.70434,7.15256e-07
9301,9.71515,9.71515,9.53674e-07
9401,9.72585,9.72584,1.54972e-06
9501,9.73643,9.73642,1.19209e-06
9601,9.7469,9.74689,8.34465e-07
9701,9.75726,9.75725,8.34465e-07
9801,9.76751,9.76751,7.15256e-07
